Requisition ID,Requisition Display Job Title,Requisition Division,Requisition Owner - Name,Requisition Date Filled,Applicant Submission Source,Requisition Time to Fill,Candidates per req
req1833,"VP, Marketing",Corporate Marketing,Recruiter1,2/5/20 8:06,Added Manually,220,3
req826,"Manager, Tax",Finance,Recruiter1,9/12/18 20:52,Careers Page,100,20
req1338,Account Executive - Northern Mass - Maine,Sales,Recruiter1,1/4/19 17:18,Career Center,22,4
req513,Compensation Analyst,Human Resources,Recruiter1,6/4/18 9:39,Added Manually,132,11
req827,Talent Acquisition Partner,Human Resources,Recruiter1,7/7/18 21:37,Careers Page,49,42
req1432,Business Development Manager,Sales,Recruiter1,6/13/19 14:44,Careers Page,150,35
req1037,Talent Acquisition Partner,Human Resources,Recruiter1,9/25/18 21:20,Career Center,42,32
req1046,Account Executive - Austin TX,Sales,Recruiter1,9/28/18 17:03,Added Manually,33,13
req2449,"VP, Training",Sales Training,Recruiter1,1/29/20 10:27,Added Manually,1,1
req2362,Sales Training Manager,Sales Training,Recruiter1,2/4/20 11:47,Career Center,47,3
req1008,SQA Intern,IT,Recruiter1,9/12/18 19:46,Added Manually,40,1
req2514,Innovations Sales Specialist -FL,Sales & Marketing,Recruiter1,2/17/20 11:18,Career Center,7,1
req1451,"Account Executive - Minneapolis, MN",Sales,Recruiter1,3/18/19 18:09,Careers Page,46,6
req876,"Vice President, Cardiovascular Science",Medical Operations,Recruiter1,8/17/18 9:08,Added Manually,71,22
req2667,Distribution Technician (Temp to Perm),Distribution AZ,Recruiter1,5/29/20 20:19,Agency - A,20,12
req1528,Distribution Technician Temp,Distribution PA,Recruiter1,8/7/19 11:34,Added Manually,150,2
req1582,Account Executive - Baltimore North,Sales,Recruiter1,5/17/19 15:54,Careers Page,52,9
req2129,Associate Project Manager,Project Management,Recruiter1,2/21/20 18:19,Added Manually,156,76
req820,Customer Service Representative (Temp to Perm),Customer Ops,Recruiter1,8/30/18 12:09,Added Manually,109,8
2017-2828,Distribution Technician Temp,Distribution AZ,Recruiter1,11/20/18 17:00,Agency - C,351,2
req1026,Product Analyst,52107 Product Management,Recruiter1,9/25/18 22:40,Candidate Bank,31,1
req1367,"Account Executive - Sarasota, FL",Sales,Recruiter1,6/11/19 11:27,Careers Page,174,69
req1358,"Account Executive - West Palm Beach, FL",Sales,Recruiter1,4/8/19 11:56,Careers Page,110,42
req2308,Innovations Sales Specialist - Northwest Region,Sales & Marketing,Recruiter1,3/30/20 8:34,Added Manually,131,26
req1244,Associate Account Executive -EMR - Atlanta,Sales,Recruiter1,2/14/19 9:28,Careers Page,95,25
req857,Distribution Technician (Temp to Perm),Distribution AZ,Recruiter1,10/31/18 19:10,Added Manually,153,1
req1025,Strategic Contracting Operations Analyst,Contracting Administration,Recruiter2,9/29/18 21:21,Added Manually,47,1
req801,Talent Acquisition Partner,Human Resources,Recruiter2,5/30/18 16:00,Added Manually,14,22
req2347,Associate Account Executive - TX,Sales,Recruiter2,2/5/20 13:07,Career Center,48,8
2017-2729,Sr. QA Automation Engineer,28101 R&d Admin,Recruiter2,5/18/18 8:59,Careers Page,218,64
req828,"Account Executive - Ft. Myers, FL",Sales,Recruiter2,6/23/18 11:49,Careers Page,33,21
req1319,Distribution Technician (Temp to Perm),Distribution PA,Recruiter2,4/4/19 18:50,Added Manually,119,1
req1072,Distribution Technician Temp to Perm,Distribution AZ,Recruiter2,10/31/18 19:04,Added Manually,56,1
req1281,Associate Account Executive -EMR - Chicago,Sales,Recruiter2,5/8/19 10:18,Careers Page,161,27
req1474,Inside Sales Representative,Customer Ops,Recruiter2,5/28/19 14:50,Added Manually,117,12
req822,Senior Java Software Engineer,200 R&d,Recruiter2,1/22/19 15:32,Careers Page,252,30
req2190,Distribution Technician (Temp to Perm),Distribution PA,Recruiter2,3/27/20 9:46,Added Manually,172,19
req1151,Budgets & Proposals Contract Analyst,Contracting Administration,Recruiter2,3/27/19 17:28,Career Center,176,16
req2342,Talent Acquisition Coordinator,Human Resources,Recruiter2,3/23/20 14:10,Added Manually,103,85
req892,"Account Executive - Wilmington, NC",Sales,Recruiter2,7/30/18 15:49,Careers Page,43,16
req1337,"Account Executive - Birmingham, AL",Sales,Recruiter2,6/6/19 12:50,Careers Page,175,44
req2530,"Account Executive - Sacramento, CA",Sales,Recruiter2,6/12/20 8:47,Careers Page,116,48
